payment_id,settlement_id,invoice_id,label,case_type
pay_1000,stl_5000,INV-8000,MATCH,clean_exact
pay_1001,stl_5001,INV-8001,MATCH,clean_exact
pay_1002,stl_5002,INV-8002,MATCH,clean_exact
pay_1003,stl_5003,INV-8003,MATCH,clean_exact
pay_1004,stl_5004,INV-8004,MATCH,clean_exact
pay_1005,stl_5005,INV-8005,MATCH,clean_exact
pay_1006,stl_5006,INV-8006,MATCH,clean_exact
pay_1007,stl_5007,INV-8007,MATCH,clean_exact
pay_1008,stl_5008,INV-8008,MATCH,clean_exact
pay_1009,stl_5009,INV-8009,MATCH,clean_exact
pay_1010,stl_5010,INV-8010,MATCH,clean_exact
pay_1011,stl_5011,INV-8011,MATCH,clean_exact
pay_1012,stl_5012,INV-8012,MATCH,clean_exact
pay_1013,stl_5013,INV-8013,MATCH,clean_exact
pay_1014,stl_5014,INV-8014,MATCH,clean_exact
pay_1015,stl_5015,INV-8015,MATCH,clean_exact
pay_1016,stl_5016,INV-8016,MATCH,clean_exact
pay_1017,stl_5017,INV-8017,MATCH,clean_exact
pay_1018,stl_5018,INV-8018,MATCH,clean_exact
pay_1019,stl_5019,INV-8019,MATCH,clean_exact
pay_1020,stl_5020,INV-8020,MATCH,clean_exact
pay_1021,stl_5021,INV-8021,MATCH,clean_exact
pay_1022,stl_5022,INV-8022,MATCH,clean_exact
pay_1023,stl_5023,INV-8023,MATCH,clean_exact
pay_1024,stl_5024,INV-8024,MATCH,clean_exact
pay_1025,stl_5025,INV-8025,MATCH,clean_exact
pay_1026,stl_5026,INV-8026,MATCH,clean_exact
pay_1027,stl_5027,INV-8027,MATCH,clean_exact
pay_1028,stl_5028,INV-8028,MATCH,clean_exact
pay_1029,stl_5029,INV-8029,MATCH,clean_exact
pay_1030,stl_5030,INV-8030,MATCH,clean_exact
pay_1031,stl_5031,INV-8031,MATCH,clean_exact
pay_1032,stl_5032,INV-8032,MATCH,clean_exact
pay_1033,stl_5033,INV-8033,MATCH,clean_exact
pay_1034,stl_5034,INV-8034,MATCH,clean_exact
pay_1035,stl_5035,INV-8035,MATCH,clean_exact
pay_1036,stl_5036,INV-8036,MATCH,clean_exact
pay_1037,stl_5037,INV-8037,MATCH,clean_exact
pay_1038,stl_5038,INV-8038,MATCH,clean_exact
pay_1039,stl_5039,INV-8039,MATCH,clean_exact
pay_1040,stl_5040,INV-8040,MATCH,clean_exact
pay_1041,stl_5041,INV-8041,MATCH,clean_exact
pay_1042,stl_5042,INV-8042,MATCH,clean_exact
pay_1043,stl_5043,INV-8043,MATCH,clean_exact
pay_1044,stl_5044,INV-8044,MATCH,clean_exact
pay_1045,stl_5045,INV-8045,MATCH,clean_exact
pay_1046,stl_5046,INV-8046,MATCH,clean_exact
pay_1047,stl_5047,INV-8047,MATCH,clean_exact
pay_1048,stl_5048,INV-8048,MATCH,clean_exact
pay_1049,stl_5049,INV-8049,MATCH,clean_exact
pay_1050,stl_5050,INV-8050,MATCH,clean_exact
pay_1051,stl_5051,INV-8051,MATCH,clean_exact
pay_1052,stl_5052,INV-8052,MATCH,clean_exact
pay_1053,stl_5053,INV-8053,MATCH,clean_exact
pay_1054,stl_5054,INV-8054,MATCH,clean_exact
pay_1055,stl_5055,INV-8055,MATCH,clean_exact
pay_1056,stl_5056,INV-8056,MATCH,clean_exact
pay_1057,stl_5057,INV-8057,MATCH,clean_exact
pay_1058,stl_5058,INV-8058,MATCH,clean_exact
pay_1059,stl_5059,INV-8059,MATCH,clean_exact
pay_1060,stl_5060,INV-8060,MATCH,clean_exact
pay_1061,stl_5061,INV-8061,MATCH,clean_exact
pay_1062,stl_5062,INV-8062,MATCH,clean_exact
pay_1063,stl_5063,INV-8063,MATCH,clean_exact
pay_1064,stl_5064,INV-8064,MATCH,clean_exact
pay_1065,stl_5065,INV-8065,MATCH,clean_exact
pay_1066,stl_5066,INV-8066,MATCH,clean_exact
pay_1067,stl_5067,INV-8067,MATCH,clean_exact
