settlement_id,amount,date,reference
stl_5000,4269.71,2026-08-08,ORD-8001
stl_5001,11161.62,2026-08-18,ORD-8002
stl_5002,669.42,2026-08-03,ORD-8003
stl_5003,9109.48,2026-08-18,ORD-8004
stl_5004,3461.74,2026-08-19,ORD-8005
stl_5005,12125.93,2026-08-23,ORD-8006
stl_5006,2500.25,2026-08-25,ORD-8007
stl_5007,5822.3,2026-08-12,ORD-8008
stl_5008,12145.31,2026-08-24,ORD-8009
stl_5009,14602.09,2026-08-13,ORD-8010
stl_5010,12475.02,2026-08-20,ORD-8011
stl_5011,10627.37,2026-08-02,ORD-8012
stl_5012,12858.56,2026-08-04,ORD-8013
stl_5013,9607.77,2026-08-12,ORD-8014
stl_5014,3299.91,2026-08-09,ORD-8015
stl_5015,2732.02,2026-08-24,ORD-8016
stl_5016,5815.32,2026-08-21,ORD-8017
stl_5017,4998.71,2026-08-25,ORD-8018
stl_5018,674.12,2026-08-11,ORD-8019
stl_5019,3321.76,2026-08-19,ORD-8020
stl_5020,7588.12,2026-08-21,ORD-8021
stl_5021,2265.67,2026-08-24,ORD-8022
stl_5022,11255.55,2026-08-14,ORD-8023
stl_5023,3445.17,2026-08-05,ORD-8024
stl_5024,11385.33,2026-08-04,ORD-8025
stl_5025,10270.8,2026-08-20,ORD-8026
stl_5026,9018.74,2026-08-15,ORD-8027
stl_5027,12939.4,2026-08-01,ORD-8028
stl_5028,4148.28,2026-08-21,ORD-8029
stl_5029,6633.96,2026-08-15,ORD-8030
stl_5030,11476.8,2026-08-17,ORD-8031
stl_5031,9656.09,2026-08-20,ORD-8032
stl_5032,11484.92,2026-08-18,ORD-8033
stl_5033,4996.83,2026-08-01,ORD-8034
stl_5034,12140.07,2026-08-08,ORD-8035
stl_5035,14214.8,2026-08-03,ORD-8036
stl_5036,8083.58,2026-08-05,ORD-8037
stl_5037,2643.04,2026-08-17,ORD-8038
stl_5038,13947.85,2026-08-25,ORD-8039
stl_5039,14928.21,2026-08-21,ORD-8040
stl_5040,6881.45,2026-08-08,ORD-8041
stl_5041,510.33,2026-08-18,ORD-8042
stl_5042,305.43,2026-08-23,ORD-8043
stl_5043,13600.12,2026-08-11,ORD-8044
stl_5044,4320.74,2026-08-16,ORD-8045
stl_5045,10905.34,2026-08-19,ORD-8046
stl_5046,11812.15,2026-08-26,ORD-8047
stl_5047,1633.67,2026-08-14,ORD-8048
stl_5048,7111.43,2026-08-24,ORD-8049
stl_5049,6158.2,2026-08-11,ORD-8050
stl_5050,3014.28,2026-08-15,ORD-8051
stl_5051,4321.75,2026-08-08,ORD-8052
stl_5052,12947.83,2026-08-18,ORD-8053
stl_5053,14989.38,2026-08-01,ORD-8054
stl_5054,6214.33,2026-08-16,ORD-8055
stl_5055,2635.79,2026-08-01,ORD-8056
stl_5056,11819.7,2026-08-10,ORD-8057
stl_5057,10832.16,2026-08-05,ORD-8058
stl_5058,14536.87,2026-08-19,ORD-8059
stl_5059,4840.66,2026-08-02,ORD-8060
stl_5060,13806.85,2026-08-17,ORD-8061
stl_5061,1384.73,2026-08-06,ORD-8062
stl_5062,10192.82,2026-08-08,ORD-8063
stl_5063,3843.23,2026-08-20,ORD-8064
stl_5064,6403.95,2026-08-19,ORD-8065
stl_5065,14033.59,2026-08-07,ORD-8066
stl_5066,6057.03,2026-08-22,ORD-8067
stl_5067,13949.4,2026-08-03,ORD-8068
stl_5068,14977.12,2026-08-04,ORD-8069
stl_5069,7686.6,2026-08-05,ORD-8070
stl_5070,5668.37,2026-08-06,ORD-8071
stl_5071,4676.56,2026-08-26,ORD-8072
stl_5072,12292.96,2026-08-10,ORD-8073
stl_5073,1907.46,2026-08-04,ORD-8074
stl_5074,4369.27,2026-08-07,ORD-8075
stl_5075,9586.36,2026-08-09,ORD-8076
stl_5076,13598.89,2026-08-02,ORD-8077
stl_5077,4294.14,2026-08-01,ORD-8078
stl_5078,14700.99,2026-08-07,ORD-8079
stl_5079,6529.19,2026-08-01,OLA*TRIP80
stl_5080,712.25,2026-08-12,ORD-8081
stl_5081,4761.53,2026-08-26,ORD-808X
stl_5082,10294.27,2026-08-23,ORD-8083
stl_5083,8485.84,2026-08-14,Flipkart-84
stl_5084,2584.19,2026-08-26,ORD-8085
stl_5085,11100.89,2026-08-11,ORD-808X
stl_5086,2555.29,2026-08-24,ORD-8087
stl_5087,772.16,2026-08-16,FLIPKART*88
stl_5088,4696.13,2026-08-26,ORD-8089
stl_5089,3057.51,2026-08-11,0RD-8090
stl_5090,9693.57,2026-08-14,ORD-8091
stl_5091,1906.17,2026-08-09,UBER *TRIP92
stl_5092,1753.47,2026-08-14,ORD-8093
stl_5093,14766.67,2026-08-04,0RD-8094
stl_5094,855.97,2026-08-15,ORD-8095
stl_5095,8168.63,2026-08-24,AMZN*96
stl_5096,1184.68,2026-08-22,ORD-8097
stl_5097,12750.47,2026-08-24,ORD-809X
stl_5099,1127.88,2026-08-22,ORD-8100
stl_5100,4653.36,2026-08-18,ORD-8101
stl_5101,3309.91,2026-08-26,ORD-8102
stl_5103,5598.69,2026-08-26,ORD-8104
stl_5104,10024.7,2026-08-20,ORD-8105
stl_5105,14289.55,2026-08-08,ORD-8106
stl_5107,8637.23,2026-08-25,ORD-8108
stl_5108,10831.24,2026-08-13,ORD-8109
stl_5109,2383.2,2026-08-23,ORD-8110
stl_5111,8449.16,2026-08-04,ORD-8112
stl_5112,8444.16,2026-08-04,ORD-8119
stl_5113,8060.28,2026-08-18,ORD-8113
stl_5114,8050.28,2026-08-18,ORD-8119
stl_5115,12261.91,2026-08-17,ORD-8114
stl_5116,12256.91,2026-08-17,ORD-8119
stl_5117,11205.84,2026-08-16,ORD-8115
stl_5118,11200.84,2026-08-16,ORD-8119
stl_5119,9637.03,2026-08-25,ORD-8116
stl_5120,9627.03,2026-08-25,ORD-8119
stl_5121,6709.55,2026-08-23,ORD-8117
stl_5122,6704.55,2026-08-23,ORD-8119
stl_5123,4931.02,2026-08-18,ORD-8118
stl_5124,4931.02,2026-08-18,ORD-8119
stl_5125,5868.31,2026-08-05,ORD-8119
stl_5126,5858.31,2026-08-05,ORD-8119
stl_5127,6231.88,2026-08-18,ORD-8120
stl_5128,6226.88,2026-08-18,ORD-8129
